,id,keywords,review count
0,oozxXPF73KZBXNETbrWPiw,"['warm', 'covered', 'bag', 'variety', 'providing', 'bit overpriced', 'jasmine tea', 'fish', 'welcoming', 'salad', 'point', 'mixed', 'pint', 'attempt', 'bill', 'fixed', 'wanted', 'made', 'efficient', 'requests', 'return', 'food', 'edible', 'seated', 'adding', 'heard', 'condiments', 'promptly', 'attempts', 'yelp', 'usa', 'requesting', 'chips', 'attentive', 'rating', 'california', 'singapore', 'making', 'service', 'opening', 'worst service', 'refreshing', 'sites', 'give', 'serves', 'experienced', 'make', 'timely manner', 'favorites', 'hot sour soup', 'entree', 'atmosphere', 'glasses', 'leave', 'reading reviews', 'inviting', 'husband', 'dumplings', 'customers', 'kind', 'portion size', 'mexican food', 'fresh', 'visit', 'meal', 'pitcher', 'record', 'complimentary', 'music', 'power', 'ordering', 'ordering drinks', 'served', 'egg', 'seasoning', 'hostess', 'experience', 'conversation', 'restaurant', 'menu', 'taste', 'gave', 'place', 'list', 'order', 'discover', 'memorable', 'dusted', 'flag', 'minute', 'beer', 'waitress', 'request', 'star', 'trained', 'singapore restaurants', 'surprised', 'order food', 'margaritas', 'received', 'portion', 'brought', 'decided', 'seafood pasta', 'beers', 'birthday', 'soup', 'seafood', 'customer', 'crumbs', 'price', 'commented', 'dollops', 'staff', 'job', 'breading', 'checking', 'miss', 'chili crab buns', 'salsa', 'stars']",6
1,UClvWBH5ucO5l3tA39vVwg,"['duxton', 'rest', 'cob', 'waitresses', 'dry', 'mashed potato', 'attentive', 'running', 'prices', 'honesty', 'singapore', 'thumbs', 'outdoor seating area', 'tacos', 'uncomfortable', 'quesadillas', 'put', 'energy', 'appeal', 'corn', 'panic', 'jugs', 'bother', 'stale', 'run', 'line', 'frozen', 'dishes', 'chow', 'case', 'spoken', 'peak periods', 'world', 'corn chips', 'group', 'outdoor area', 'management', 'follow', 'couple', 'feet', 'serve', 'price', 'menu', 'luck', 'listed', 'cool place', 'french', 'margarita', 'oxtail', 'place', 'drink', 'moment', 'tastes', 'classic', 'found', 'dish', 'mexican restaurant', 'rocks']",2
2,R4irnMMK_CPECttV9lSzZA,"['heat', 'tear', 'flavor', 'onion', 'sitting', 'curry', 'dining room', 'savoriness', 'clean', 'heavier', 'whiff', 'made', 'pandan', 'dough', 'food', 'damn', 'tastes', 'eggs', 'chicken', 'tang', 'gluten', 'roast pork', 'hot sauce', 'service', 'ready', 'recommending', 'chewy', 'passable', 'make', 'depth', 'bit', 'juicy meat', 'tea', 'seasonings', 'kitchen', 'rice', 'customers', 'kaya toast', 'iffy', 'fairly', 'murtabak', 'lean meat', 'coconut', 'regretted', 'pieces', 'crackling', 'layers', 'sweetness', 'tip', 'chicken flavor', 'sauce', 'service improves', 'ratio', 'hot', 'sweet', 'flower', 'taste', 'fast', 'sugar', 'order', 'dip', 'lack', 'coffee', 'crisp', 'dense', 'hint', 'filling', 'mediocre food', 'person', 'spread', 'chew', 'chewy texture', 'multiple', 'soft', 'fork', 'lacked', 'left singapore', 'mild', 'ground beef', 'soy', 'tender', 'spoon', 'felt', 'crispness', 'cashier', 'batch', 'aromatics']",3
3,jgyImyPkliUbJuc_Gtk6Zw,"['heat', 'romantic ambience', 'evening', 'attentive', 'reds', 'stuff', 'windows', 'service', 'tight', 'champagne', 'glass', 'crowded', 'presentable', 'sit', 'melts', 'view', 'served', 'space', 'fish curry', 'ambience', 'nostalgic feel', 'price', 'food', 'air conditioned', 'game', 'place', 'black', 'beat', 'wagyu beef', 'mouth']",3
4,0hQqB5opTt95jEGIwaqDrA,"['staying', 'bag', 'odd', 'inside', 'singapore', 'fries', 'service', 'chilis', 'manager', 'super tender', 'call', 'impressed', 'flyer', 'decade', 'sg', 'beers', 'chili crab', 'review', 'grabbed', 'wanted', 'complain', 'sat', 'unhappy', 'dinner', 'group', 'people', 'room', 'walked', 'restaurant', 'figured', 'onion rings', 'hotel', 'wtf', 'place', 'order', 'wanted water', 'rice', 'usa', 'chicken']",4
5,4Uf6g20S-2ZcxJSuvVIjJg,"['heat', 'full', 'stingy', 'truffle oil', 'bustle', 'minced', 'sunday afternoon', 'sort', 'entertainment', 'put', 'speciality', 'popularity', 'rocket salad', 'toppings', 'fish', 'curry', 'point', 'assess', 'sadly', 'french food', 'mixed', 'lots', 'menus', 'friend', 'broth', 'clean', 'red', 'shophouses', 'made', 'noisy', 'pointed', 'turned', 'escargot', 'noodles', 'servings', 'seated', 'fill', 'reason', 'oysters', 'tad dry', 'dim sum', 'yolk', 'tastes', 'chef', 'silky', 'scrimp', 'latest visit', 'extraordinary', 'chicken', 'rest', 'expectations', 'sandwich', 'boat', 'array', 'nuts', 'service', 'adam road food centre', 'oily', 'thankfully', 'mouthful', 'sizable', 'hotdog', 'view', 'soaked', 'make', 'account', 'carry', 'tuesdays', 'stocked', 'appetizing', 'realise', 'afford', 'drown', 'piece', 'book', 'curry leaves', 'sandwiches', 'chilli crab', 'pork ribs', 'hit', 'remember', 'ridiculous', 'literally', 'struggled', 'helped', 'stayed', 'meat', 'fridays', 'bitter', 'generous portions', 'bistro du vin', 'plates', 'freshest', 'bland', 'west', 'adore', 'finger', 'tenderly', 'truffle taste', 'mushroom sauce', 'chilli sauce', 'sashimi salad', 'beef steak', 'crab', 'alcohol', 'parts', 'steak', 'steamed crab', 'novelty', 'sauce', 'adjust', 'perfection', 'prevalent', 'kid', 'sit', 'option', 'pressed', 'staple', 'croissant', 'slurping', 'cap', 'homely feel', 'places', 'crown', 'experience', 'genuinely', 'queue', 'properly', 'matter', 'menu', 'inkling', 'gorge', 'careful', 'overpriced', 'taste', 'correctly', 'sounds', 'list', 'fair', 'granted', 'hot dogs', 'memorable', 'stepping', 'sashimi', 'vegetables', 'overwhelming', 'dry', 'effort', 'advance', 'shop', 'promised', 'admit', 'jewel', 'supposed', 'milk', 'prawns', 'saltiness', 'walk', 'uniqueness', 'longest', 'formal', 'care', 'describes', 'run', 'supporting', 'soooo', 'squeezing', 'melted', 'boiled', 'seafood', 'frequent', 'panini', 'automatically', 'notch', 'head', 'crumbs', 'exists', 'outlet', 'free flow', 'ultimately', 'expecting', 'crave', 'prawn', 'serve', 'sashimi fix', 'prove', 'pride', 'setting', 'thai iced tea', 'felt', 'miss', 'checking', 'tastier', 'mix', 'number', 'butter', 'curry chicken', 'beef', 'signature dish', 'mbs', 'chicken rice', 'reliable', 'explain', 'past', 'passed', 'crispy', 'stuffy', 'confusing', 'highlights', 'goodness', 'counter', 'prospect', 'rare', 'lawry', 'itacho', 'meringue', 'hungrier', 'stacked', 'varieties', 'wanted', 'set', 'steal', 'lime juice', 'salmon', 'efficient', 'food', 'bloated', 'fritters', 'game', 'japanese food', 'evidently', 'skin', 'stall', 'money', 'congested', 'lacking', 'medium', 'qualm', 'week', 'duck meat', 'brewed', 'odd', 'hold', 'shared', 'cooking', 'ready', 'sophisticated', 'pick', 'tangy', 'dare', 'nicer', 'satisfying', 'refreshing', 'artificial', 'minutes', 'spending', 'serves', 'mouths', 'flour', 'bonus', 'explains', 'reasons', 'trust', 'bit', 'class', 'people', 'minced meat', 'add', 'pax', 'pretentious', 'filling meal', 'mango pudding', 'removing', 'presentation', 'unexpectedly', 'undercooked', 'baked alaska', 'crispiness', 'warning', 'slurp', 'rice', 'punch', 'pour', 'kind', 'found', 'mouth', 'needless', 'restaurants', 'life', 'crab bee hoon', 'date', 'imagine', 'air conditioned environment', 'mine', 'fresh', 'food centre', 'skill', 'puddings', 'word', 'sense', 'feature', 'starting', 'furniture', 'egg', 'memory', 'sweet tooth', 'worked', 'street', 'saving', 'pig', 'butter crab', 'painted', 'heaven', 'kids', 'singaporeans', 'form', 'bought', 'cakes', 'favourites', 'burn', 'referring', 'sweet', 'special', 'sambal chilli', 'mere', 'cents', 'half', 'fried', 'garlic', 'moment', 'yorkshire pudding', 'strange', 'water', 'ramen fix', 'shout', 'cheaper', 'truffle mac', 'slippery', 'doubt', 'maintains', 'pork', 'describe', 'twenty minutes', 'milky', 'cheeks', 'spread', 'takeaway', 'portion', 'helps', 'decided', 'sliced beef', 'spend', 'fish maw', 'sushi', 'rush', 'con', 'sharing', 'lined', 'works', 'lacks', 'char siew', 'complain', 'needed', 'wonders', 'wall', 'fan', 'queues', 'blackened', 'waiter', 'proposed', 'spectacular', 'tempt', 'crab place', 'price', 'casually', 'staff', 'fish head curry', 'santouka', 'country', 'shows', 'holding', 'machine', 'boiling', 'paying', 'cup', 'smiling', 'fact', 'cart', 'conveniently located', 'literally melt', 'stars', 'banana leaves', 'result', 'portions', 'goat', 'inside', 'eaten hot', 'starchy', 'providing', 'force', 'orders', 'combination', 'unsatisfying', 'nasi lemak', 'resulted', 'salad', 'easily', 'soup stock', 'tastefully', 'paragon', 'curt', 'guess', 'fatty', 'additional', 'hands', 'freshness', 'choice', 'lunch', 'gold', 'mixes', 'charge', 'scent', 'occasions', 'colour', 'picked', 'sight', 'sesame dressing', 'duck', 'prepared', 'throwing', 'jolly', 'items', 'worthwhile', 'meant', 'hungry', 'indian fare', 'minimum', 'mushrooms', 'reluctant', 'offering', 'hype', 'buzz', 'making', 'item', 'comprehensive', 'treat', 'precious', 'cockle', 'healthy', 'intimidating', 'tokyo', 'medium rare', 'end', 'finding', 'chicken curry', 'plate', 'apparently', 'melts', 'tempura', 'ending', 'sauces', 'food court', 'cheap', 'spoilt', 'noticed', 'mind', 'draws', 'popiah', 'tongue', 'tea', 'end result', 'wipe', 'curry wok', 'richness', 'sour pork', 'stool', 'toss', 'fall', 'seats', 'satisfied', 'slides', 'traffic', 'tuna', 'blown', 'bits', 'bakery', 'kopitiam', 'began', 'overcooked', 'fairly', 'creation', 'die', 'texture', 'expensive', 'sliced pork', 'offer', 'juicy', 'pieces', 'visit', 'croutons', 'single', 'bite', 'provide', 'salty', 'spent', 'power', 'age', 'dishes', 'norm', 'fighting', 'scene', 'buttery', 'change', 'restuarant', 'expected', 'world', 'ambience', 'filing', 'cover', 'remain', 'packs', 'weekday night', 'patronize', 'slice', 'plate clean', 'winner', 'door', 'contribute', 'menu online', 'crisp', 'sights', 'confess', 'white', 'ultimate', 'wantons', 'booking', 'filling', 'crunch', 'accompanied', 'recommended', 'idea', 'craving', 'sounded', 'surprised', 'foie gras', 'fails', 'gravy', 'chinese', 'brought', 'type', 'addition', 'corner', 'soft', 'milk powder', 'man', 'leaving', 'attraction', 'nuff', 'oil', 'means', 'fire', 'hotel', 'pricey', 'buffet', 'simply', 'attractive', 'recommendation', 'read', 'replicated', 'hawkers', 'asia', 'true', 'lush', 'lor mee', 'adventurous', 'pate', 'notice', 'highlight', 'complement', 'uncomfortable', 'forgettable', 'peel', 'onion', 'forget', 'spot', 'bak chor mee', 'essentially', 'bill', 'ironically', 'cheese', 'family', 'accompaniment', 'mountain', 'feel', 'werent', 'pricing', 'indian food', 'cockles', 'balance', 'generous', 'pan fried carrot cake', 'stunning', 'briyani', 'artistry', 'coupled', 'stop', 'today', 'fine', 'remains', 'dish', 'uk', 'loss', 'utterly', 'prices', 'ikan bilis', 'singapore', 'start', 'roast pork', 'packed', 'liu sha bao', 'acidic taste', 'breeze', 'give', 'cake', 'description', 'student', 'city', 'japanese restaurants', 'roasted duck', 'tempted', 'satisfying meal', 'tiong bahru market', 'dinner', 'chicken masala', 'open', 'star dish', 'wanton mee', 'maintaining', 'compared', 'fragrance', 'adorned', 'net', 'bottle', 'admittedly', 'roast beef sandwich', 'standard', 'place serves', 'part', 'sour', 'leave', 'pastries', 'cream sauce', 'buffets', 'feel compelled', 'sushis', 'customers', 'elegant', 'definite', 'meaty', 'crunchy', 'dug', 'underwhelming', 'mention', 'sound', 'size', 'sell', 'curry fish head', 'coconut', 'check', 'early', 'guy', 'tomatoes', 'simply bread', 'burger', 'justified', 'meal', 'failed', 'pork balls', 'coffee shop', 'served piping hot', 'broke', 'served', 'babies', 'lady', 'enjoyment', 'overeasy', 'digging', 'hot plate', 'prompt', 'sayur lodeh', 'hand', 'dim sum places', 'frown', 'restaurant', 'paris', 'challenge', 'minced pork noodles', 'dessert', 'shoes', 'place', 'desserts', 'order', 'tend', 'oddly', 'pork cheeks', 'plain', 'splashing', 'sweet sauce', 'versions', 'fortunate', 'draw', 'equally', 'live', 'location', 'overly spicy', 'staples', 'fish maw soup', 'bread', 'pushed', 'rude', 'melt', 'ingredients', 'mixture', 'steep', 'heart', 'boxes', 'soup', 'throw', 'tiong bahru bakery', 'delivers', 'ramen', 'range', 'blow', 'tinge', 'selling', 'powder', 'disappointing', 'shelves', 'char kway teow', 'toasted', 'trio', 'process', 'jam', 'bowl', 'complete', 'dining experience', 'differentiate', 'tender', 'cups', 'lengths', 'job', 'catch', 'forgot', 'juice', 'astounded', 'jumbos', 'wrong', 'grade', 'decoration', 'line', 'sushi tei']",30
6,KqR71xx01uMNccPnkvKSyw,"['bottles', 'mashed potatoes', 'situated', 'staying', 'beef', 'options', 'cook', 'scare', 'drool', 'peel', 'toppings', 'call', 'picky', 'salad', 'french food', 'sides', 'people watching', 'starters', 'day', 'lots', 'indian', 'sushi bar', 'rocked', 'clean', 'red', 'group', 'bacon', 'arugula', 'lamb', 'made', 'set', 'sweet potato fries', 'efficient', 'meatball', 'satiated', 'refill', 'laid', 'food', 'tart', 'lunch', 'creme brulee', 'seated', 'server', 'reason', 'oysters', 'salt', 'stop', 'food variety', 'drinks', 'medium', 'duck', 'communication', 'prepared', 'ecstatic', 'chicken', 'talk', 'calories', 'sake', 'thinking', 'evening', 'understanding', 'prices', 'start', 'singapore', 'butcher', 'asparagus', 'rolls', 'service', 'treat', 'avocado', 'crispy skin', 'prevent', 'specials', 'pork sandwich', 'satisfying', 'give', 'end', 'live music', 'shrimp', 'plate', 'budget', 'view', 'patties', 'sea bass', 'make', 'build', 'beverages', 'duck confit', 'standards', 'bit', 'opportunity', 'baked potato', 'couple', 'grab', 'vibe', 'bottle', 'area', 'disturbing', 'mint', 'parking', 'superb', 'visitors', 'servers', 'olive oil', 'omelet', 'fall', 'basilico', 'hit', 'mocha', 'slowly', 'credit cards', 'literally', 'regent hotel', 'customers', 'wine list', 'meat', 'toast', 'looked', 'gelato', 'found', 'mouth', 'plates', 'hawker stand', 'expensive', 'japanese', 'juicy', 'group dinner', 'anchovies', 'wine menu', 'burger', 'fear', 'filet mignon', 'meal', 'alcohol', 'provide', 'bite', 'advice', 'steak', 'creative', 'extras', 'glass', 'blanched', 'delightful', 'attempted', 'ordering drinks', 'ordering', 'dishes', 'challenged', 'center', 'scene', 'air', 'served', 'change', 'begins', 'located', 'ambience', 'wines', 'places', 'experience', 'hand', 'smoothie', 'presented', 'restaurant', 'boiled egg', 'loud', 'menu', 'assured', 'hot', 'expansive', 'sweet', 'ceasar salad', 'fast', 'gave', 'colleague', 'choices', 'desserts', 'drink', 'place', 'oddly', 'steaks', 'crispy fries', 'lack', 'order', 'coffee', 'bun', 'delighted', 'astronomical', 'parmesan', 'water', 'beer', 'sashimi', 'orchard area', 'facility', 'frills', 'pacing', 'location', 'godsend', 'neat', 'recommended', 'fries', 'breakfast', 'bed', 'sirloin', 'care', 'spend', 'brought', 'received', 'sushi', 'cheddar cheese', 'meters', 'corner', 'melted', 'review', 'tiger beer', 'sat', 'bartenders', 'wakanui', 'locals', 'share', 'serve', 'price', 'pepper', 'debate', 'complete', 'fuss', 'hotel', 'tender', 'job', 'pricey', 'attention', 'buffet', 'fresh food', 'mexican', 'wine', 'occupied', 'salsa', 'content', 'meet', 'cup', 'tex mex', 'guests']",20
7,z4VBcggHg1vm_1Aw-7MZPw,"['generic', 'portions', 'sign', 'salsas', 'options', 'flagged', 'guidance', 'shot glass', 'def', 'point', 'planning', 'discovered', 'cheese', 'friend', 'lived', 'turned', 'mexican restaurants', 'return', 'food', 'plenty', 'waitstaff', 'days', 'added', 'glad', 'drinks', 'today', 'chicken', 'syrup', 'explanation', 'singapore', 'delish', 'service', 'pick', 'lookout', 'minutes', 'guacamole', 'complaining', 'seasonings', 'add sugar', 'entree', 'servers', 'mocha', 'ridiculously overpriced', 'enchiladas', 'customers', 'looked', 'bitter', 'lunch break', 'mention', 'texture', 'check', 'provide', 'coffees', 'delay', 'clarke quay', 'served', 'forever', 'street', 'located', 'cost', 'worst restaurant', 'dips', 'menu', 'sweet', 'stumbled', 'joint', 'discovery', 'phenomenal', 'drink', 'sugar', 'coffee', 'credit card', 'reviewer mentioned', 'waits', 'fellow yelpers', 'location', 'jewel', 'milk', 'problem', 'focused', 'waiter', 'filled', 'regret', 'appetizer', 'simply', 'cup', 'receipt']",2
8,1tMT5-YXZPtzZ7itDAqrhw,"['week', 'advertising', 'feedback', 'options', 'food poisoning', 'recently', 'providing', 'service', 'question', 'fails', 'manager', 'vegetarians', 'decided', 'hahah', 'lots', 'annoyed', 'family', 'understand', 'reservation', 'mind paying', 'dinner', 'leaving', 'restaurant', 'price', 'food', 'finish', 'empty', 'pricey', 'chef', 'improved', 'left', 'entered']",2
9,wDwwazbzYP7iUjV6DYgyKA,"['warm', 'daunting', 'full', 'putting', 'variety', 'inside', 'japanese cuisine', 'delivered', 'kinds', 'discount', 'dollars', 'priced', 'crowded', 'rare', 'diverse', 'lived', 'guess', 'terms', 'indoor', 'food', 'lunch', 'cover charge', 'jug', 'favorite', 'days', 'send', 'stop', 'drinks', 'prepared', 'tsukune', 'rest', 'california', 'flow', 'prices', 'singapore', 'upside', 'mins', 'cool', 'sundays', 'packed', 'ready', 'bacon cheeseburger', 'customer service', 'text message', 'frozen margaritas', 'eaten', 'tokyo', 'specials', 'give', 'end', 'view', 'make', 'cheap', 'dinner', 'bit', 'incorrect', 'bar', 'balcony', 'favorites', 'ambiance', 'weekends', 'presentation', 'area', 'clear', 'atmosphere', 'cool bar', 'delivering', 'pastries', 'rice', 'midst', 'circular road', 'fridays', 'mexican food', 'arrive', 'abroad', 'cheese fries', 'threw', 'expensive', 'tacos', 'chicken katsu', 'skeptical', 'burger', 'expectation', 'visit', 'clark quay', 'meal', 'spent', 'crab', 'steak', 'bakeries', 'uber eats', 'vatos', 'overly impressed', 'knock', 'sit', 'requiring', 'daily', 'expected', 'galbi tacos', 'yakitori', 'disappoint', 'experience', 'prompt', 'pricy', 'presented', 'helpful', 'place', 'order', 'single taco', 'downside', 'thursdays', 'lunch specials', 'coffee', 'place rocks', 'craft beer', 'judged', 'minute', 'omakase', 'fixing', 'location', 'struggling', 'quesadillas', 'brunch place', 'closest', 'craving', 'years', 'outdoor seating', 'expats', 'margaritas', 'mixture', 'spend', 'chili crabs', 'beers', 'tiong bahru', 'tiong bahru bakery', 'review', 'occasion', 'mistake', 'frequent', 'locals', 'cafes', 'price', 'jumbo seafood', 'middle', 'staff', 'shows', 'fact', 'bincho', 'line', 'stars', 'twist']",9
